「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
旅行業界において中間程度の混み具合の時期のこと。通常よりはやや混んでいるけれど、ピークというほどではない、という時期。,ショルダーシーズン,
航空会社の路線や便数、乗り入れ企業、運賃など、航空協定で決める規制を撤廃（自由化）すること。自国の空港を広く開放することで、人・物の流通を促進し経済効果を高めようとする政策。,オープンスカイ,
旅行先で実施される小旅行のこと。,オプショナルツアー,
その土地に住んでいる、または移住した「定住人口」でなく、観光などで訪れた「交流人口」でもない、居住地と離れた地域を行き来して、地域の人々と多様に関わる人々のこと。,関係人口,
1国内の2地点間の旅客または貨物の運送のこと。外国船・旅客によるものは原則として禁止されているが、EU圏内では航空自由化が実施されている。,カボタージュ,
日本語が分からず困っている外国人に対し、自発的に通訳をかってでる個人のボランティア活動（善意通訳普及運動）のこと。,グッドウィルガイド,
高級かつ魅力的なキャンプの雰囲気を味わえる施設のこと。,グランピング,
ユダヤ教に則った食べ物に関する規定のこと。,コーシャ,
一つの航空便に複数の航空会社の便名をつけ運航すること。座席の販売は複数の航空会社がそれぞれの便で行う。,コードシェア,
スマートフォンやPCを使って個人の遊休資産の貸し出しを仲介するサービス。,シェアリングエコノミー,
中華圏における旧正月のこと。概ね1月下旬から2月上旬。,春節,
中華人民共和国の建国記念日。10月1日。毛沢東が天安門広場で人民政府の成立宣言をした日に当たる。,国慶節,
人口に対する海外旅行者数の割合。,出国率,
出発空港で最終目的地までの複数区間の搭乗手続きを一括して行うこと。航空機を乗り継いで目的地に行く場合に便利なサービス。,スルーチェックイン,
欧米諸国や日本などで、1990年代中盤から2000年代までに生まれた世代のこと。パソコンやインターネットの普及後に生まれたデジタルネイティブであることで知られる。,Z世代,
欧米諸国で、第二次大戦後のベビーブームの後に生まれた世代のこと。個人主義的傾向が強いといわれ、ミージェネレーションともよばれる。,X世代,
死・暴力・虐待などの悲劇にまつわる場所を訪問する観光のこと。,ダーク（ブラック、悲しみの）ツーリズム,
旅行者を受け入れる地域で作られる旅行商品のこと。,着地型商品,
日本の旅行会社の依頼を受け、海外旅行先のホテルやレストラン、ガイドやバス・鉄道などの予約手配を専門に行う会社のこと。,ツアー（ランド）オペレーター,
JATA（一般社団法人日本旅行業協会）が主催する業界人の人材育成および技能認定制度。販売・接客のプロである「トラベル・コーディネーター」、特定の国や地域に精通した「エリア・スペシャリスト」、旅の目的やテーマに詳しい「テーマ・スペシャリスト」の3つの資格からなる。,トラベル・カウンセラー制度,
観光などにおいて、拠点となる空港や鉄道の駅から観光地までの交通のこと。,二次交通,
通常のものの価格やサービス料金とは別建てで、原燃料価格の上昇などを理由に追加価格・料金を上乗せする制度。燃料費の高騰、為替レートの変動など船主、航空会社の営業努力によらない価格変動要因を運賃と別建てにすることで経営リスクを回避する手段として、導入された経緯がある。,サーチャージ,
航空会社が滑走路を利用して空港へ離発着できる機会のことで、スロットともいう。空港には離発着できる回数に限度があるため、スロットは国土交通省が航空会社に配分している。,発着枠,
イスラム教の教えに則って許されるもの。これに対し、禁じられているものはハラムという。,ハラル,
祝日の一部を月曜日に移動させ、土曜日、日曜日と合わせて3連休とする制度。,ハッピーマンデー,
旅行会社があらかじめ旅行目的地および日程、宿泊、交通、観光などのサービス内容ならびに料金を設定し参加者を募る旅行のこと。,パッケージツアー,
映画やテレビドラマ、CMなどのロケーションを誘致し、撮影がスムーズに進行するようサポートする非営利団体のこと。,フィルムコミッション,
業務での出張先で、滞在を延長するなどして、業務の後に旅行も楽しむこと。日本語では「出張休暇」とも。,ブレジャー,
